No,SRn,Vp,Is50,UCS
656,32,3723,3.39,66.95
657,22,2714,1.81,41.58
658,24,3014,2.28,44.32
659,24,3375,2.29,47.26
660,26,3425,2.32,58.53
661,30,3553,3.32,68.11
662,30,3619,3.18,72.54
663,32,3624,3.19,73.83
664,34,3534,2.5,83.73
665,36,3552,2.73,85.31
666,32,4243,2.83,74.58
667,35,4265,2.92,84.24
668,38,4290,3.01,86.66
669,38,4313,3.04,92.9
670,38,4337,3.05,98.36
671,30,4421,2,44.21
672,30,4494,2.18,48.12
673,31,4792,2.4,57.18
674,32,4996,2.79,59.27
675,32,5051,2.86,59.53
676,34,5204,2.97,83.82
677,34,5405,3.04,86.37
678,32,4891,2.41,60.8
679,32,5045,2.68,61.54
680,32,5288,2.85,64.54
681,35,5294,2.95,96.79
682,35,5341,3.27,103.22
683,36,5362,3.43,113.41
684,36,5365,3.63,125.42
685,37,5525,4.63,137.43
686,30,4002,1.75,44.68
687,32,5096,1.86,58.02
688,32,5155,1.91,59.63
689,32,5232,2.13,60.47
690,31,4520,2.2,49.4
691,32,5060,2.21,59.89
692,34,6003,3.06,91.62
693,34,5359,2.96,80.84
694,34,5408,3.15,82.32
695,34,5427,3.18,90.15
696,34,5479,3.26,91.64
697,35,5496,3.32,99.79
698,35,5586,3.42,105.37
699,28,3771,1.26,22.55
700,27,3785,1.63,23.83
701,17,3791,1.68,25.33
702,19,4017,1.95,25.4
703,20,4121,1.97,28.58
704,29,3500,2.07,29.8
705,20,3778,2.17,29.98
706,21,3835,2.35,32.76
707,20,3665,1.47,17.72
708,25,3880,2.04,19.63
709,20,2592,1.13,6.21
710,20,2633,1.62,10.06
711,22,2886,1.76,15.38
712,24,3045,2.22,19.73
713,24,3099,2.28,21.88
714,25,3105,2.32,22.99
715,27,3306,2.55,25.31
716,28,3424,2.7,28.82
717,28,3542,2.86,30.42
718,32,3660,3.07,40.02
719,28,2592,2.27,30.67
720,32,2633,2.54,44.38
721,33,2886,2.58,47.98
722,35,3045,2.59,63.73
723,26,2592,2.69,23.08
724,30,2633,2.69,33.25
725,30,2886,2.87,34.45
726,30,3045,2.88,38.13
727,32,3099,3.19,39.53
728,32,3105,3.37,40.23
729,22,2592,2.17,16.68
730,23,2633,2.28,17.26
731,24,2886,2.36,19.9
732,32,3045,2.64,32.44
733,35,3099,2.77,36.95
734,33,3105,2.85,41.46
